Type,Management,year_restoration,Year,Transect,Evenness - functional,Richness - taxa,Richness - ant,detritivores,herb chew,herb suck,parasitoid,pollinator,predator,scavenger,vol_detritivores,vol_herb chew,vol_herb suck,vol_parasitoid,vol_pollinator,vol_predator,vol_scavenger,vol_total
GL,active,1,2017,DC3-NG3-1,0.201117477,8,3,0.001719163,0,0.015718057,0,0.82888193,0.001964757,0.151716093,0.916297857,0,8.37758041,0,441.7864669,1.047197551,80.86328591,532.9908286
GL,active,1,2017,DC3-NG4-1,0.287877116,10,2,0.449382716,0,0.001519468,0,0,0.006647673,0.542450142,38.71358447,0,0.130899694,0,0,0.572686161,46.73119072,86.14836105
CSS,active,1,2019,DC3-CSS2-1,0.262024895,12,3,0.69681592,0,0.060199005,0,0,0.006368159,0.236616915,114.5863195,0,9.899289351,0,0,1.047197551,38.90993401,164.4427405
CSS,active,1,2019,DC2-CSS3-2,0.565707117,13,0,0.229215752,0.122685964,0.128912824,0,0,0.389094581,0.130090878,22.28567289,11.92823461,12.53364569,0,0,37.83001154,12.64818292,97.22574764
CSS,active,1,2019,DC2-CSS3-3,0.267075482,10,0,0.677692842,0,0.0257123,0.023835997,0,0.27275886,0,159.5667269,0,6.054110843,5.612324376,0,64.22266232,0,235.4558244
GL,active,1,2019,DC3-NG5-1,0.265294492,12,2,0.070373312,0.007116759,0.00025417,0,0.697442415,0.008038125,0.216775218,36.24285275,3.665191429,0.130899694,0,359.1887601,4.13970282,111.6410764,515.0084832
GL,active,1,2019,DC3-NG7-1,0.146191064,8,0,0.011535689,0,0,0,0,0.988464311,0,1.570796327,0,0,0,0,134.5976103,0,136.1684066
GL,active,0,2013,BF3,0.355306,13.5,3.5,0.591435399,0.064143158,0.005190718,0.07586742,0.038254091,0.054896054,0.170213159,172.542159,28.27433388,0,53.27617542,33.88665826,4.156065281,150.7800849,442.9154768
CSS,active,0,2013,BF31,0.228005546,6,0,0.248453608,0,0,0,0,0.751546392,0,3.943353279,0,0,0,0,11.92823461,0,15.87158789
GL,active,0,2013,BF32,0.484076733,14,4,0.448377581,0.031858407,0.125958702,0.018436578,0,0.131120944,0.244247788,49.74188368,3.534291735,13.97354232,2.045307717,0,14.54622848,27.09623664,110.9374906
CSS,active,0,2013,BF33,0.160707353,11,4,0.013731799,0.942217732,0.00052709,0,0,0.018846221,0.024677157,81.84503361,5615.858668,3.141592654,0,0,112.3282998,147.0821686,5960.255762
GL,active,0,2013,BF34,0.166128011,11,3,0.000616036,0.924771316,0.000252879,1.90E-06,0,0.068444679,0.005913188,5.301437603,7958.325052,2.176207411,0.016362462,0,589.0158976,50.887256,8605.722214
CSS,active,0,2013,BF45,0.277919042,7,4,0.100197371,0,0,0.072565405,0,0.693402763,0.13383446,39.04083371,0,0,28.27433388,0,270.1769682,52.14716556,389.6393014
GL,active,0,2013,BF47,0.239220127,10,2,0.000331618,0.723817536,0,0.000165809,0,0.270630934,0.005054103,0.883572934,1928.561553,0,0.441786467,0,721.0773263,13.46630601,2664.430544
GL,active,0,2013,BF48,0.187199409,11,3,0.040897603,0,0,0.052711189,0.025484414,0.870586658,0.010320135,34.95021827,0,0,45.04585716,21.77843657,743.9847727,8.819366876,854.5786516
GL,active,0,2013,BF53,0.318150585,12,3,0.095798641,0.57881137,0.000765624,9.57E-05,0,0.000765624,0.32376304,16.3788242,98.96016859,0.130899694,0.016362462,0,0.130899694,55.35420806,170.9713627
GL,active,0,2013,BF57,0.283675,11.5,9,0.293734921,0.365693672,0.011475108,4.13E-05,0,0.079602273,0.24945274,187.2029247,0,9.572040116,0,0,12.97543216,208.8340992,418.5844962
CSS,passive,0,2013,BFP13,0.225511105,12,2,0.008442489,0.771224544,0.005192166,0,0,0.195471819,0.019668982,19.84766609,1813.09166,12.20639646,0,0,459.5397379,46.24031687,2350.925778
GL,passive,0,2013,BFP14,0.251929704,13,3,0.006518443,0.704818304,0.006002684,4.97E-05,0,0.26432939,0.018281467,17.16422236,1855.912223,15.80613804,0.130899694,0,696.0263974,48.13836243,2633.178242
GL,passive,0,2013,BFP16,0.151230171,12,2,0.005557782,0,0.007056118,0.000156803,0,0.971758106,0.015471192,5.219625294,0,6.626797004,0.147262156,0,912.6326659,14.52986602,939.1562163
CSS,active,0,2012,BF16,0.149996199,8,3,0.024392447,0,0,0,0,0.975607553,0,13.25359401,0,0,0,0,530.0946729,0,543.3482669
CSS,active,0,2012,BF19,0.183626119,13,4,0.063358193,0,0.031992751,0.025859065,0,0.878789991,0,14.87347772,0,7.510369937,6.070473305,0,206.2979176,0,234.7522385
CSS,active,0,2012,BF23,0.259126729,8,2,0.660159649,0,0,0,0,0.339840351,0,571.0499146,0,0,0,0,293.9679876,0,865.0179022
GL,active,0,2012,BF25,0.16222217,10,3,0.063750927,0,0,0,0,0.936249073,0,28.14343419,0,0,0,0,413.3157835,0,441.4592177
CSS,active,0,2012,BF29,0.216748392,11,3,0.186988703,0.022269835,0.001038826,0,0,0.789702636,0,47.1238898,5.612324376,0.261799388,0,0,199.0166221,0,252.0146357
GL,active,0,2012,BF56,0.272608781,11,4,0.642129105,0.01881697,0.005401167,0,0,0.333652757,0,120.6077055,3.534291735,1.014472628,0,0,62.66822845,0,187.8246983
CSS,active,0,2012,BF6,0.162118499,12,3,0.051814604,0.005465676,0.005465676,0,0,0.937254045,0,19.38951716,2.045307717,2.045307717,0,0,350.7293673,0,374.2094999
GL,active,0,2012,BF60,0.189537366,13,3,0.138612911,0,0.004367651,0,0,0.857019438,0,47.2547895,0,1.488984018,0,0,292.1681168,0,340.9118903
GL,passive,0,2012,BFP1,0.144002985,12,4,0.002915274,0,0,0.001076057,0,0.99600867,0,6.250460384,0,0,2.307107105,0,2135.481244,0,2144.038811
GL,passive,0,2012,BFP19,0.167231343,15,3,0.023251773,0.046260253,0.007715835,0,0,0.92277214,0,10.9464869,21.77843657,3.632466506,0,0,434.4233591,0,470.7807491
CSS,active,0,2014,DC3-ES2-1,0.450265271,11,1,0.042270671,0.400788589,0.128145657,0.000231938,0,0.366925664,0.061637481,23.85646921,226.1946711,72.32208088,0.130899694,0,207.0833157,34.78659365,564.3740302
CSS,active,0,2014,DC3-ES3-1,0.301436435,9,0,0.020226314,0.545045933,0.013523637,0.001379963,0.419824153,0,0,8.393942871,226.1946711,5.612324376,0.572686161,174.2274926,0,0,415.001117
